"id","DomainName","CurrentStatus","RDAPStatusCode","updatedAt"
577,"f0",1,404,"2025-10-29 07:46:24"
578,"f1",2,200,"2025-10-29 07:46:25"
579,"f2",1,404,"2025-10-29 07:46:27"
580,"f3",1,404,"2025-10-29 07:46:28"
581,"f4",2,200,"2025-10-29 07:46:29"
582,"f5",2,200,"2025-10-29 07:46:30"
583,"f6",1,404,"2025-10-29 07:46:31"
584,"f7",1,404,"2025-10-29 07:46:33"
585,"f8",1,404,"2025-10-29 07:46:34"
586,"f9",1,404,"2025-10-29 07:46:35"
587,"fa",2,200,"2025-10-29 07:46:36"
588,"fb",2,200,"2025-10-29 07:46:37"
589,"fc",2,200,"2025-10-29 07:46:39"
590,"fd",2,200,"2025-10-29 07:46:40"
591,"fe",1,404,"2025-10-29 07:46:41"
592,"ff",2,200,"2025-10-29 07:46:42"
593,"fg",2,200,"2025-10-29 07:46:43"
594,"fh",1,404,"2025-10-29 07:46:45"
595,"fi",2,200,"2025-10-29 07:46:46"
596,"fj",1,404,"2025-10-29 07:46:47"
597,"fk",1,404,"2025-10-29 07:46:48"
598,"fl",2,200,"2025-10-29 07:46:49"
599,"fm",2,200,"2025-10-29 07:46:50"
600,"fn",2,200,"2025-10-29 07:46:52"
601,"fo",1,404,"2025-10-29 07:46:53"
602,"fp",1,404,"2025-10-29 07:46:54"
603,"fq",1,404,"2025-10-29 07:46:55"
604,"fr",2,200,"2025-10-29 07:46:56"
605,"fs",1,404,"2025-10-29 07:46:58"
606,"ft",1,404,"2025-10-29 07:46:59"
607,"fu",1,404,"2025-10-29 07:47:00"
608,"fv",1,404,"2025-10-29 07:47:01"
609,"fw",2,200,"2025-10-29 07:47:02"
610,"fx",2,200,"2025-10-29 07:47:04"
611,"fy",1,404,"2025-10-29 07:47:05"
612,"fz",1,404,"2025-10-29 07:47:06"
613,"g0",1,404,"2025-10-29 07:47:07"
614,"g1",2,200,"2025-10-29 07:47:08"
615,"g2",2,200,"2025-10-29 07:47:09"
616,"g3",1,404,"2025-10-29 07:47:11"
617,"g4",2,200,"2025-10-29 07:47:12"
618,"g5",2,200,"2025-10-29 07:47:13"
619,"g6",2,200,"2025-10-29 07:47:14"
620,"g7",2,200,"2025-10-29 07:47:15"
621,"g8",2,200,"2025-10-29 07:47:17"
622,"g9",1,404,"2025-10-29 07:47:18"
623,"ga",2,200,"2025-10-29 07:47:19"
624,"gb",2,200,"2025-10-29 07:47:20"
625,"gc",1,404,"2025-10-29 07:47:22"
626,"gd",1,404,"2025-10-29 07:47:23"
627,"ge",2,200,"2025-10-29 07:47:24"
628,"gf",1,404,"2025-10-29 07:47:25"
629,"gg",2,200,"2025-10-29 07:47:26"
630,"gh",1,404,"2025-10-29 07:47:30"
631,"gi",2,200,"2025-10-29 07:47:31"
632,"gj",1,404,"2025-10-29 07:47:32"
633,"gk",1,404,"2025-10-29 07:47:33"
634,"gl",1,404,"2025-10-29 07:47:37"
635,"gm",1,404,"2025-10-29 07:47:39"
636,"gn",1,404,"2025-10-29 07:47:40"
637,"go",2,200,"2025-10-29 07:47:41"
638,"gp",1,404,"2025-10-29 07:47:42"
639,"gq",1,404,"2025-10-29 07:47:43"
640,"gr",1,404,"2025-10-29 07:47:44"
641,"gs",1,404,"2025-10-29 07:47:46"
642,"gt",2,200,"2025-10-29 07:47:47"
643,"gu",1,404,"2025-10-29 07:47:48"
644,"gv",1,404,"2025-10-29 07:47:49"
645,"gw",2,200,"2025-10-29 07:47:53"
646,"gx",1,404,"2025-10-29 07:47:55"
