"id","updatedAt","DomainName","CurrentStatus","RDAPStatusCode"
575,NULL,"o8",2,200
576,NULL,"o9",2,200
577,NULL,"pa",2,200
578,NULL,"pb",2,200
579,NULL,"pc",2,200
580,NULL,"pd",2,200
581,NULL,"pe",2,200
582,NULL,"pf",2,200
583,NULL,"pg",2,200
584,NULL,"ph",2,200
585,NULL,"pi",2,200
586,NULL,"pj",2,200
587,NULL,"pk",2,200
588,NULL,"pl",2,200
589,NULL,"pm",2,200
590,NULL,"pn",2,200
591,NULL,"po",2,200
592,NULL,"pp",2,200
593,NULL,"pq",2,200
594,NULL,"pr",2,200
595,NULL,"ps",2,200
596,NULL,"pt",2,200
597,NULL,"pu",2,200
598,NULL,"pv",2,200
599,NULL,"pw",2,200
600,NULL,"px",2,200
601,NULL,"py",2,200
602,NULL,"pz",2,200
603,NULL,"p0",2,200
604,NULL,"p1",2,200
605,NULL,"p2",2,200
606,NULL,"p3",2,200
607,NULL,"p4",2,200
608,NULL,"p5",2,200
609,NULL,"p6",2,200
610,NULL,"p7",2,200
611,NULL,"p8",2,200
612,NULL,"p9",2,200
613,NULL,"qa",2,200
614,NULL,"qb",2,200
615,NULL,"qc",2,200
616,NULL,"qd",2,200
617,NULL,"qe",2,200
618,NULL,"qf",2,200
619,NULL,"qg",2,200
620,NULL,"qh",2,200
621,NULL,"qi",2,200
622,NULL,"qj",2,200
623,NULL,"qk",2,200
624,NULL,"ql",2,200
625,NULL,"qm",2,200
626,NULL,"qn",2,200
627,NULL,"qo",2,200
628,NULL,"qp",2,200
629,NULL,"qq",2,200
630,NULL,"qr",2,200
631,NULL,"qs",2,200
632,NULL,"qt",2,200
633,NULL,"qu",2,200
634,NULL,"qv",2,200
635,NULL,"qw",2,200
636,NULL,"qx",2,200
637,NULL,"qy",2,200
638,NULL,"qz",2,200
639,NULL,"q0",2,200
640,NULL,"q1",2,200
641,NULL,"q2",2,200
642,NULL,"q3",2,200
643,NULL,"q4",2,200
644,NULL,"q5",2,200
645,NULL,"q6",2,200
646,NULL,"q7",2,200
647,NULL,"q8",2,200
648,NULL,"q9",2,200
649,NULL,"ra",2,200
650,NULL,"rb",2,200
651,NULL,"rc",2,200
652,NULL,"rd",2,200
653,NULL,"re",2,200
654,NULL,"rf",2,200
655,NULL,"rg",2,200
656,NULL,"rh",2,200
657,NULL,"ri",2,200
658,NULL,"rj",2,200
659,NULL,"rk",2,200
660,NULL,"rl",2,200
661,NULL,"rm",2,200
662,NULL,"rn",2,200
663,NULL,"ro",2,200
664,NULL,"rp",2,200
665,NULL,"rq",2,200
666,NULL,"rr",2,200
667,NULL,"rs",2,200
668,NULL,"rt",2,200
669,NULL,"ru",2,200
670,NULL,"rv",2,200
671,NULL,"rw",2,200
672,NULL,"rx",2,200
673,NULL,"ry",2,200
674,NULL,"rz",2,200
675,NULL,"r0",2,200
676,NULL,"r1",2,200
677,NULL,"r2",2,200
678,NULL,"r3",2,200
679,NULL,"r4",2,200
680,NULL,"r5",2,200
681,NULL,"r6",2,200
682,NULL,"r7",2,200
683,NULL,"r8",2,200
684,NULL,"r9",2,200
685,NULL,"sa",2,200
686,NULL,"sb",2,200
687,NULL,"sc",2,200
688,NULL,"sd",2,200
689,NULL,"se",2,200
690,NULL,"sf",2,200
691,NULL,"sg",2,200
692,NULL,"sh",2,200
693,NULL,"si",2,200
694,NULL,"sj",2,200
695,NULL,"sk",2,200
696,NULL,"sl",2,200
697,NULL,"sm",2,200
698,NULL,"sn",2,200
699,NULL,"so",2,200
700,NULL,"sp",2,200
701,NULL,"sq",2,200
702,NULL,"sr",2,200
703,NULL,"ss",2,200
704,NULL,"st",2,200
705,NULL,"su",2,200
706,NULL,"sv",2,200
707,NULL,"sw",2,200
708,NULL,"sx",2,200
709,NULL,"sy",2,200
710,NULL,"sz",2,200
711,NULL,"s0",2,200
712,NULL,"s1",2,200
713,NULL,"s2",2,200
714,NULL,"s3",2,200
715,NULL,"s4",2,200
716,NULL,"s5",2,200
717,NULL,"s6",2,200
718,NULL,"s7",2,200
719,NULL,"s8",2,200
720,NULL,"s9",2,200
721,NULL,"ta",2,200
722,NULL,"tb",2,200
723,NULL,"tc",2,200
724,NULL,"td",2,200
725,NULL,"te",2,200
726,NULL,"tf",2,200
727,NULL,"tg",2,200
728,NULL,"th",2,200
